Pathway	L1 expressed	I1 expressed	I5 expressed	f1e1_expressed	f1e5_expressed	e1e5_expressed	f1e1e5_expressed	L1 rhythmic	I1 rhythmic	I5 rhythmic	f1e1_rhythmic	f1e5_rhythmic	e1e5_rhythmic	f1e1e5_rhythmic
Photosynthesis	0.744363661	0.880744464	0.981239892	0.86253074	0.926238607	0.972815502	0.936279581	0.999682952	0.012139079	0.451327085	0.246197882	0.91978761	0.493007924	0.909505595
Pigment Synthesis	0.041114042	0.997984541	0.988682519	0.556790214	0.771435875	0.975061124	0.73169717	0.230434242	0.351226913	0.637567779	0.316525121	0.655570186	0.518198934	0.635974179
Transporters	8.09E-06	0.959448206	0.035451676	0.00321292	6.10E-05	3.11E-01	0.005201765	0.000946247	0.026556206	0.157742501	0.005661319	0.037679714	0.17043612	0.018561902
Chromatin remodeling	0.996788053	0.042743918	0.974795924	0.972097074	0.993784896	0.869373799	0.97837359	0.969706691	0.997566265	0.993367235	0.997403509	0.943186972	0.999199104	0.992376987
DNA replication	0.999947698	0.311790074	0.843658605	0.999682355	0.999723015	0.730320411	0.999448431	0.655925628	0.990154324	0.999832983	0.928007397	0.995908336	0.990688687	0.96594417
Protein Degradation	0.320112914	0.045867276	0.515719294	0.132957193	0.144446717	0.288720111	0.092145299	0.943910529	0.401928517	0.623934679	0.842416671	0.953920887	0.293783341	0.869461508
Protein Synthesis	5.91E-07	1.62E-03	0.064576359	1.04E-08	5.04E-08	8.98E-03	9.78E-09	3.26E-05	0.992774473	0.848907374	0.974163144	0.838472264	0.992518545	0.997515638
RNA degradation	0.550827299	0.343828718	0.499906775	0.397235248	0.40933634	0.362406552	0.348315109	0.885143147	0.519503709	0.182144455	0.869087372	0.301526403	0.558759358	0.806776406
RNA synthesis and proccessing	0.0042925	0.001345214	0.067974782	0.000205035	0.000600128	0.010252034	0.00014917	0.979634232	0.995981517	0.995207003	0.933420492	0.996934864	0.988103438	0.960332097
Transcription Factors	0.999752658	0.588714769	0.978836276	0.998375698	0.99764659	0.98542366	0.995685025	0.211606732	0.011471094	0.006176334	0.000390066	0.000380492	0.001331062	7.88E-05
